sig_id,Ligand,Organism,Celltype.cellline,Dose,Duration,Platform,source
sig_NAMPT_1_y,NAMPT,Homo sapiens,colon adenocarcinoma_xenograft tumor_HCT116_no bacteria,15 mg/Kg,twice daily for two weeks or till tumor reached 1000 mm3,RNA-Seq,LigScape
sig_NAMPT_2_y,NAMPT,Homo sapiens,colon adenocarcinoma_xenograft tumor_HCT116_Mycoplasma Hyorhinis,15 mg/Kg,twice daily for two weeks or till tumor reached 1000 mm3,RNA-Seq,LigScape
sig_NAMPT_3_y,NAMPT,Homo sapiens,human macrophages,1µg/ml,6h,RNA-Seq,LigScape
sig_NDP_1_y,NDP,Homo sapiens,ASCL1-low "G411" patient-derived glioblastoma (GBM) stem cell line,na,na,RNA-Seq,LigScape
sig_NDP_2_y,NDP,Homo sapiens,ASCL1-low "G411" patient-derived glioblastoma (GBM) stem cell line,na,na,RNA-Seq,LigScape
sig_NDP_3_y,NDP,Homo sapiens,ASCL1-high "G523" patient-derived glioblastoma (GBM) stem cell line,na,na,RNA-Seq,LigScape
sig_NDP_4_y,NDP,Homo sapiens,ASCL1-high "G523" patient-derived glioblastoma (GBM) stem cell line,na,na,RNA-Seq,LigScape
sig_NTN4_1_y,NTN4,Homo sapiens,Breast cancer cells_SKRB3 cells,50 ng/μL,3d,RNA-Seq,LigScape
sig_NTNG1_1_y,NTNG1,Homo sapiens,Pancreas_PDAC stroma (cancer associated fibroblasts),na,na,RNA-Seq,LigScape
sig_PCSK9_1_y,PCSK9,Homo sapiens,HepG2,na,na,RNA-Seq,LigScape
sig_PCSK9_2_y,PCSK9,Homo sapiens,HepG2,na,na,RNA-Seq,LigScape
sig_PCSK9_3_y,PCSK9,Homo sapiens,Induced pluripotent stem cells,na,na,RNA-Seq,LigScape
sig_PLA2G10_1_y,PLA2G10,Homo sapiens,Activated human peripheral blood T lymphocyte,na,na,RNA-Seq,LigScape
sig_PODXL_1_y,PODXL,Homo sapiens,human pluripotent (embryonic) stem cells,na,na,RNA-Seq,LigScape
sig_POSTN_1_y,POSTN,Homo sapiens,Primary human breast cancer-associated fibroblasts (CAFs),75 nm,5h+5h+24h,RNA-Seq,LigScape
sig_POSTN_2_y,POSTN,Homo sapiens,monocytes,10 μL/mL of PBS or 1000 ng/mL of human recombinant periostin,16h,RNA-Seq,LigScape
sig_PRL_1_y,PRL,Homo sapiens,ER+ breast cancer cells derived from pleural effusion of pt with breast adenocarcinoma/MCF-7,250 ng/mL prolactin_ 0.1% DMSO,2h,RNA-Seq,LigScape
sig_PRL_2_y,PRL,Homo sapiens,breast cancer cells/T47D,100 ng/ml,6h,RNA-Seq,LigScape
sig_PRL_3_EV_y,PRL,Homo sapiens,MCF7_Endogenous STAT5a knockdown_mpty vector (EV) control,250 ng/ml,2h,RNA-Seq,LigScape
sig_PRL_3_S726A_y,PRL,Homo sapiens,MCF7_Endogenous STAT5a knockdown_point mutant S726A-STAT5a,250 ng/ml,2h,RNA-Seq,LigScape
sig_PRL_3_S780A_y,PRL,Homo sapiens,MCF7_Endogenous STAT5a knockdown_point mutant S780A-STAT5a,250 ng/ml,2h,RNA-Seq,LigScape
sig_PRL_3_WT_y,PRL,Homo sapiens,MCF7_Endogenous STAT5a knockdown_wild type (WT)-STAT5a,250 ng/ml,2h,RNA-Seq,LigScape
sig_PRL_3_Y694F_y,PRL,Homo sapiens,MCF7_Endogenous STAT5a knockdown_point mutant Y694F-STAT5a,250 ng/ml,2h,RNA-Seq,LigScape
sig_PRL_4_y,PRL,Homo sapiens,breast cancer cells/T47D,na,na,RNA-Seq,LigScape
sig_PTHLH_1_y,PTHLH,Homo sapiens,Human MCF7 breast cancer cells,na,na,RNA-Seq,LigScape
sig_PVR_1_y,PVR,Homo sapiens,Tonsil-CD4 T cells-Pre-Tfh (CXCR5lowICOSlow),2.5e4/well,3d,RNA-Seq,LigScape
sig_PVR_2_y,PVR,Homo sapiens,Tonsil-CD4 T cells-Naive(CXCR5negICOSneg),2.5e4/well,3d,RNA-Seq,LigScape
sig_PVR_3_y,PVR,Homo sapiens,Tonsil-CD4 T cells-GC-Tfh (CXCR5hiICOShi),10 μg/ml,added on day0 and day2,RNA-Seq,LigScape
sig_RLN2_1_y,RLN2,Homo sapiens,Ovarian cancer cell line (OVCAR8),50ng/mL,8h,RNA-Seq,LigScape
sig_ROBO1_1_y,ROBO1,Homo sapiens,placenta_trophoblast/HTR8/Svneo,30-40 nM,na,RNA-Seq,LigScape
sig_RPS19_1_y,RPS19,Homo sapiens,Lung adenocarcinoma A549 cells,na,72h,RNA-Seq,LigScape
sig_RPS19_2_y,RPS19,Homo sapiens,CD34+ hematopoietic cells/Erythroid cells,na,day7,RNA-Seq,LigScape
sig_RSPO4_1_y,RSPO4,Homo sapiens,HeLa cells,na,na,RNA-Seq,LigScape
sig_RTN4_1_y,RTN4,Homo sapiens,iPSC-derived neurons (iNs),na,na,RNA-Seq,LigScape
sig_S100A9_1_y,S100A9,Homo sapiens,EGFR-mutant lung cancer cell line H1650,na,na,RNA-Seq,LigScape
sig_S100A9_2_y,S100A9,Homo sapiens,EGFR-mutant lung cancer cell line PC9,na,na,RNA-Seq,LigScape
sig_SEMA3D_1_y,SEMA3D,Homo sapiens,Hepatocellular carsinoma cell/HCCLM3,na,48h (cultured),RNA-Seq,LigScape
sig_SERPINA1_1_y,SERPINA1,Homo sapiens,placenta_trophoblast/HTR8/SVNeo,10 nM,na,RNA-Seq,LigScape
sig_SERPINA1_2_y,SERPINA1,Homo sapiens,human senescent cells/HCA2,2mg/mL,5d,RNA-Seq,LigScape
sig_SHH_1_y,SHH,Homo sapiens,Bone_Osteosarcoma/Immortalised cell line MG63,1ug/ml,24h,RNA-Seq,LigScape
sig_SHH_2_y,SHH,Homo sapiens,Bone_Osteosarcoma/Immortalised cell line U2OS,1ug/ml,24h,RNA-Seq,LigScape
sig_SHH_3_y,SHH,Homo sapiens,brain/cerebelar tumor_medulloblastoma/Daoy,400 ng/ml,72h,RNA-Seq,LigScape
sig_SHH_4_y,SHH,Homo sapiens,embryonic palatal mesenchyme_palatal mesenchyme_ epithelial morphology/HEPM,400 ng/ml,72h,RNA-Seq,LigScape
sig_SLAMF7_1_y,SLAMF7,Homo sapiens,Peripheral blood_Monocyte-derived macrophage,10 ug/ml,4h,RNA-Seq,LigScape
sig_SLAMF7_2_y,SLAMF7,Homo sapiens,Peripheral blood_Monocyte-derived macrophage,1 ug/ml,4h,RNA-Seq,LigScape
sig_SLIT2_1_y,SLIT2,Homo sapiens,placenta_trophoblast/HTR8/Svneo,30-40 nM,na,RNA-Seq,LigScape
sig_ST6GAL1_1_y,ST6GAL1,Homo sapiens,B-cell precursor acute lymphoblastic leukemia/US7 cell line,na,na,RNA-Seq,LigScape
sig_ST6GAL1_2_y,ST6GAL1,Homo sapiens,Triple negative breast cancer MDA-MB-231 cells,na,na,RNA-Seq,LigScape
sig_THBS1_1_y,THBS1,Homo sapiens,Cancer cell line_WT_Jurkat,1 μg/ml,na,RNA-Seq,LigScape
sig_TNFSF14_1_y,TNFSF14,Homo sapiens,Esophagus Fibroblast,50ng/ml,24h,RNA-Seq,LigScape
sig_VASP_1_y,VASP,Homo sapiens,human breast cancer cells/MDA-MB-231,na,48h,RNA-Seq,LigScape
sig_VTN_1_y,VTN,Homo sapiens,naïve hiPSCs_ HPD06,50 µg/ml,3d,RNA-Seq,LigScape
sig_VWF_1_y,VWF,Homo sapiens,human umbelical vein endothelial cells (HUVECs),na,na,RNA-Seq,LigScape
sig_WNT11_1_y,WNT11,Homo sapiens,mammary gland_ breast; derived from metastatic site: pleural effusion_epithelial/MCF7 (ATCC  HTB-22),10 nM,72h,RNA-Seq,LigScape
sig_WNT7AandWNT7B_1_y,WNT7AandWNT7B,Homo sapiens,endothelial cells/Human induced pluripotent stem cells/iPS(IMR90)-4 (passage1),50 ng/ml (each),na,RNA-Seq,LigScape
sig_YBX1_1_y,YBX1,Homo sapiens,gastric cancer cell line BGC-823,na,na,RNA-Seq,LigScape
sig_YBX1_2_y,YBX1,Homo sapiens,human keratinocytes_adult human epidermis_Proliferating epidermal progenitors,na,4d,RNA-Seq,LigScape
sig_YBX1_4_y,YBX1,Homo sapiens,human Glioblastoma cell line U251,na,na,RNA-Seq,LigScape
sig_YBX1_5_y,YBX1,Homo sapiens,human Glioblastoma cell line U87,na,na,RNA-Seq,LigScape
sig_YBX1_6_y,YBX1,Homo sapiens,Mesothelioma Cell Line_MSTO-211H_Biphasic subtype,5 nM,96h,RNA-Seq,LigScape
sig_YBX1_7_y,YBX1,Homo sapiens,Mesothelioma Cell Line_VMC23_Epithelioid subtype,5 nM,96h,RNA-Seq,LigScape
sig_YBX1_8_y,YBX1,Homo sapiens,Mesothelioma Cell Line_REN_Epithelioid subtype,5 nM,96h,RNA-Seq,LigScape
sig_GREM1_1_y2,GREM1,Homo sapiens,human cirrhotic precision-cut liver slices (PCLS),100nM,24h,RNA-Seq,LigScape
sig_HP_1_y2,HP,Homo sapiens,blood_monocyte-derived macrophages (MDMs),25 µg/ml,2h,RNA-Seq,LigScape
sig_HP_2_y2,HP,Homo sapiens,blood_monocyte-derived macrophages (MDMs),25 µg/ml,4h,RNA-Seq,LigScape
sig_HP_3_y2,HP,Homo sapiens,blood_monocyte-derived macrophages (MDMs),25 µg/ml,6h,RNA-Seq,LigScape
