sig_id,Ligand,Organism,Celltype.cellline,Dose,Duration,Platform,source
sig_EGF_EGF_B_cell_imd,EGF,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_FASLG_FasL_B_cell_imd,FASLG,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_FGF2_FGF-basic_B_cell_imd,FGF2,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_FLT3LG_Flt3l_B_cell_imd,FLT3LG,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF3_G-CSF_B_cell_imd,CSF3,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_GDNF_GDNF_B_cell_imd,GDNF,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF18_GITRL_B_cell_imd,TNFSF18,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF2_GM-CSF_B_cell_imd,CSF2,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_HGF_HGF_B_cell_imd,HGF,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNA1_IFNa1_B_cell_imd,IFNA,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNB1_IFNb_B_cell_imd,IFNB1,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNE_IFNe_B_cell_imd,IFNE,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNG_IFNg_B_cell_imd,IFNG,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNK_IFNk_B_cell_imd,IFNK,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNL2_IFNl2_B_cell_imd,IFNL2,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IGF1_IGF-I_B_cell_imd,IGF1,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27andIL12B_IL-Y_B_cell_imd,IL27andIL12B,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL10_IL10_B_cell_imd,IL10,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL11_IL11_B_cell_imd,IL11,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL12AandIL12B_IL12_B_cell_imd,IL12AandIL12B,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL13_IL13_B_cell_imd,IL13,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL15_IL15_B_cell_imd,IL15,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17A_IL17A_B_cell_imd,IL17A,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17B_IL17B_B_cell_imd,IL17B,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17C_IL17C_B_cell_imd,IL17C,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17D_IL17D_B_cell_imd,IL17D,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL25_IL17E_B_cell_imd,IL25,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17F_IL17F_B_cell_imd,IL17F,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL18_IL18_B_cell_imd,IL18,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL19_IL19_B_cell_imd,IL19,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1A_IL1a_B_cell_imd,IL1A,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1B_IL1b_B_cell_imd,IL1B,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1RN_IL1ra_B_cell_imd,IL1RN,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL2_IL2_B_cell_imd,IL2,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL20_IL20_B_cell_imd,IL20,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL21_IL21_B_cell_imd,IL21,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL22_IL22_B_cell_imd,IL22,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL23AandIL12B_IL23_B_cell_imd,IL23AandIL12B,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL24_IL24_B_cell_imd,IL24,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27andEBI3_IL27_B_cell_imd,IL27andEBI3,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL3_IL3_B_cell_imd,IL3,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27_IL30_B_cell_imd,IL27,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL31_IL31_B_cell_imd,IL31,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL33_IL33_B_cell_imd,IL33,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL34_IL34_B_cell_imd,IL34,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL36A_IL36a_B_cell_imd,IL36A,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL36RN_IL36RA_B_cell_imd,IL36RN,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL4_IL4_B_cell_imd,IL4,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL5_IL5_B_cell_imd,IL5,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL6_IL6_B_cell_imd,IL6,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL7_IL7_B_cell_imd,IL7,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL9_IL9_B_cell_imd,IL9,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_LEP_Leptin_B_cell_imd,LEP,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_LIF_LIF_B_cell_imd,LIF,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF14_LIGHT_B_cell_imd,TNFSF14,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_LTAandLTB_LTA1-B2_B_cell_imd,LTAandLTB,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_LTAandLTB_LTA2-B1_B_cell_imd,LTAandLTB,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF1_M-CSF_B_cell_imd,CSF1,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_CTF2P_Neuropoietin_B_cell_imd,CTF2P,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_NOG_Noggin_B_cell_imd,NOG,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_OSM_OSM_B_cell_imd,OSM,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF4_OX40L_B_cell_imd,TNFSF4,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_PSPN_Persephin_B_cell_imd,PSPN,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_PRL_Prolactin_B_cell_imd,PRL,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF11_RANKL_B_cell_imd,TNFSF11,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_RETN_Resistin_B_cell_imd,RETN,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_KITLG_SCF_B_cell_imd,KITLG,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TGFB1_TGF-beta-1_B_cell_imd,TGFB1,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF15_TL1A_B_cell_imd,TNFSF15,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNF_TNFa_B_cell_imd,TNF,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_THPO_TPO_B_cell_imd,THPO,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF10_TRAIL_B_cell_imd,TNFSF10,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TSLP_TSLP_B_cell_imd,TSLP,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF12_TWEAK_B_cell_imd,TNFSF12,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_VEGFA_VEGF_B_cell_imd,VEGFA,Mus musculus,B_cell,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF9_41BBL_cDC1_imd,TNFSF9,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_ADIPOQ_Adiponectin_cDC1_imd,ADIPOQ,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF13_APRIL_cDC1_imd,TNFSF13,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF13B_BAFF_cDC1_imd,TNFSF13B,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_C3_C3a_cDC1_imd,C3,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_C5_C5a_cDC1_imd,C5,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_CTF1_Cardiotrophin-1_cDC1_imd,CTF1,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_CD70_CD27L_cDC1_imd,CD70,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF8_CD30L_cDC1_imd,TNFSF8,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_CD40LG_CD40L_cDC1_imd,CD40LG,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_DCN_Decorin_cDC1_imd,DCN,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_EGF_EGF_cDC1_imd,EGF,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_FASLG_FasL_cDC1_imd,FASLG,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_FGF2_FGF-basic_cDC1_imd,FGF2,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_FLT3LG_Flt3l_cDC1_imd,FLT3LG,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF3_G-CSF_cDC1_imd,CSF3,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_GDNF_GDNF_cDC1_imd,GDNF,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF18_GITRL_cDC1_imd,TNFSF18,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF2_GM-CSF_cDC1_imd,CSF2,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_HGF_HGF_cDC1_imd,HGF,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNA1_IFNa1_cDC1_imd,IFNA,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNB1_IFNb_cDC1_imd,IFNB1,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNE_IFNe_cDC1_imd,IFNE,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNG_IFNg_cDC1_imd,IFNG,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNK_IFNk_cDC1_imd,IFNK,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNL2_IFNl2_cDC1_imd,IFNL2,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IGF1_IGF-I_cDC1_imd,IGF1,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27andIL12B_IL-Y_cDC1_imd,IL27andIL12B,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL10_IL10_cDC1_imd,IL10,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL11_IL11_cDC1_imd,IL11,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL12AandIL12B_IL12_cDC1_imd,IL12AandIL12B,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL13_IL13_cDC1_imd,IL13,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL15_IL15_cDC1_imd,IL15,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17A_IL17A_cDC1_imd,IL17A,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17B_IL17B_cDC1_imd,IL17B,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17C_IL17C_cDC1_imd,IL17C,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17D_IL17D_cDC1_imd,IL17D,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL25_IL17E_cDC1_imd,IL25,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17F_IL17F_cDC1_imd,IL17F,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL18_IL18_cDC1_imd,IL18,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL19_IL19_cDC1_imd,IL19,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1A_IL1a_cDC1_imd,IL1A,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1B_IL1b_cDC1_imd,IL1B,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1RN_IL1ra_cDC1_imd,IL1RN,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL2_IL2_cDC1_imd,IL2,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL20_IL20_cDC1_imd,IL20,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL21_IL21_cDC1_imd,IL21,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL22_IL22_cDC1_imd,IL22,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL23AandIL12B_IL23_cDC1_imd,IL23AandIL12B,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL24_IL24_cDC1_imd,IL24,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27andEBI3_IL27_cDC1_imd,IL27andEBI3,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL3_IL3_cDC1_imd,IL3,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27_IL30_cDC1_imd,IL27,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL31_IL31_cDC1_imd,IL31,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL33_IL33_cDC1_imd,IL33,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL34_IL34_cDC1_imd,IL34,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL36A_IL36a_cDC1_imd,IL36A,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL36RN_IL36RA_cDC1_imd,IL36RN,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL4_IL4_cDC1_imd,IL4,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL5_IL5_cDC1_imd,IL5,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL6_IL6_cDC1_imd,IL6,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL7_IL7_cDC1_imd,IL7,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL9_IL9_cDC1_imd,IL9,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_LEP_Leptin_cDC1_imd,LEP,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_LIF_LIF_cDC1_imd,LIF,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF14_LIGHT_cDC1_imd,TNFSF14,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_LTAandLTB_LTA1-B2_cDC1_imd,LTAandLTB,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_LTAandLTB_LTA2-B1_cDC1_imd,LTAandLTB,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF1_M-CSF_cDC1_imd,CSF1,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_CTF2P_Neuropoietin_cDC1_imd,CTF2P,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_NOG_Noggin_cDC1_imd,NOG,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_OSM_OSM_cDC1_imd,OSM,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF4_OX40L_cDC1_imd,TNFSF4,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_PSPN_Persephin_cDC1_imd,PSPN,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_PRL_Prolactin_cDC1_imd,PRL,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF11_RANKL_cDC1_imd,TNFSF11,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_RETN_Resistin_cDC1_imd,RETN,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_KITLG_SCF_cDC1_imd,KITLG,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TGFB1_TGF-beta-1_cDC1_imd,TGFB1,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF15_TL1A_cDC1_imd,TNFSF15,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNF_TNFa_cDC1_imd,TNF,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_THPO_TPO_cDC1_imd,THPO,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF10_TRAIL_cDC1_imd,TNFSF10,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TSLP_TSLP_cDC1_imd,TSLP,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF12_TWEAK_cDC1_imd,TNFSF12,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_VEGFA_VEGF_cDC1_imd,VEGFA,Mus musculus,cDC1,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF9_41BBL_cDC2_imd,TNFSF9,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_ADIPOQ_Adiponectin_cDC2_imd,ADIPOQ,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF13_APRIL_cDC2_imd,TNFSF13,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF13B_BAFF_cDC2_imd,TNFSF13B,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_C3_C3a_cDC2_imd,C3,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_C5_C5a_cDC2_imd,C5,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_CTF1_Cardiotrophin-1_cDC2_imd,CTF1,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_CD70_CD27L_cDC2_imd,CD70,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF8_CD30L_cDC2_imd,TNFSF8,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_CD40LG_CD40L_cDC2_imd,CD40LG,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_DCN_Decorin_cDC2_imd,DCN,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_EGF_EGF_cDC2_imd,EGF,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_FASLG_FasL_cDC2_imd,FASLG,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_FGF2_FGF-basic_cDC2_imd,FGF2,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_FLT3LG_Flt3l_cDC2_imd,FLT3LG,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF3_G-CSF_cDC2_imd,CSF3,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_GDNF_GDNF_cDC2_imd,GDNF,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_TNFSF18_GITRL_cDC2_imd,TNFSF18,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_CSF2_GM-CSF_cDC2_imd,CSF2,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_HGF_HGF_cDC2_imd,HGF,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNA1_IFNa1_cDC2_imd,IFNA,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNB1_IFNb_cDC2_imd,IFNB1,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNE_IFNe_cDC2_imd,IFNE,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNG_IFNg_cDC2_imd,IFNG,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNK_IFNk_cDC2_imd,IFNK,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IFNL2_IFNl2_cDC2_imd,IFNL2,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IGF1_IGF-I_cDC2_imd,IGF1,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27andIL12B_IL-Y_cDC2_imd,IL27andIL12B,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL10_IL10_cDC2_imd,IL10,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL11_IL11_cDC2_imd,IL11,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL12AandIL12B_IL12_cDC2_imd,IL12AandIL12B,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL13_IL13_cDC2_imd,IL13,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL15_IL15_cDC2_imd,IL15,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17A_IL17A_cDC2_imd,IL17A,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17B_IL17B_cDC2_imd,IL17B,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17C_IL17C_cDC2_imd,IL17C,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17D_IL17D_cDC2_imd,IL17D,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL25_IL17E_cDC2_imd,IL25,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL17F_IL17F_cDC2_imd,IL17F,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL18_IL18_cDC2_imd,IL18,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL19_IL19_cDC2_imd,IL19,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1A_IL1a_cDC2_imd,IL1A,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1B_IL1b_cDC2_imd,IL1B,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL1RN_IL1ra_cDC2_imd,IL1RN,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL2_IL2_cDC2_imd,IL2,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL20_IL20_cDC2_imd,IL20,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL21_IL21_cDC2_imd,IL21,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL22_IL22_cDC2_imd,IL22,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL23AandIL12B_IL23_cDC2_imd,IL23AandIL12B,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL24_IL24_cDC2_imd,IL24,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27andEBI3_IL27_cDC2_imd,IL27andEBI3,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL3_IL3_cDC2_imd,IL3,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL27_IL30_cDC2_imd,IL27,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL31_IL31_cDC2_imd,IL31,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL33_IL33_cDC2_imd,IL33,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL34_IL34_cDC2_imd,IL34,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL36A_IL36a_cDC2_imd,IL36A,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL36RN_IL36RA_cDC2_imd,IL36RN,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL4_IL4_cDC2_imd,IL4,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL5_IL5_cDC2_imd,IL5,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL6_IL6_cDC2_imd,IL6,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
sig_IL7_IL7_cDC2_imd,IL7,Mus musculus,cDC2,In_Ref,4h,scRNA-Seq,ImmDic
